,fire_name,discovery_month,putout_time,year
20146,FY2001-TWIGGS-045,Feb,0,2001
20150,MIDNIGHT,Oct,0,2001
20162,WILLOWBEND,Feb,0,2006
20166,HAMILTON CREEK,Aug,55,2013
20167,FOX LAKE,May,10,2006
20175,MIDLAND 15,Sep,0,2012
20190,AG DUMP 3,Mar,0,1994
20191,NORTH DAG,Jun,132,2004
20193,SLIDE,Mar,0,2009
20195,FY2015-JOHNSON-034,Feb,0,2015
20197,COAL RIVER,Jul,18,2007
20201,CHINAS,Jan,2,2006
20205,DOUBLE UP,May,3,2006
20209,RL534,Apr,0,2003
20217,FY2015-HALL-005,Nov,0,2014
20220,5.92014E+12,Nov,0,2014
20221,JACOB 1,Mar,0,2005
20234,APPLE PIA RIDGE,Mar,0,2000
20235,DOVE CREEK,Jun,4,2006
20238,CLIFFORD,Aug,31,2013
20245,D&D TRUCKING 1,Feb,0,2009
20246,COTTONWOOD,Jul,2,2011
20248,BLACKWATER FIRE,Mar,1,2014
20255,ELECTRIC FENCE,Apr,0,2012
20261,PARADE,Mar,7,2010
20264,HORSE ARENA,Jan,0,2014
20266,FY2015-CRISP-014,Mar,0,2015
20274,TALL,Aug,0,2008
20283,FY2011-DAWSON-013,Mar,0,2011
20285,GAULKE,Apr,0,2001
20286,FAIRWAY,Jul,0,2008
20287,41,Feb,0,2015
20288,402,Aug,0,2009
20296,DIANA,Apr,0,2010
20297,WHILDEN (35),Mar,1,2013
20302,DOC,Apr,1,2006
20304,COW CAMP FIRE (60),Jan,0,2012
20310,RED MANGO (36),Jul,0,2014
20312,POINTER,Mar,1,2014
20316,OLD MAXTON ROAD,Feb,0,2013
20321,FY2000-CHARLTON-060,Feb,0,2000
20322,BLUESKY #4,Apr,0,1996
20324,BEIHL,Jul,1,1994
20338,SYCAMORE,Jun,2,1999
20339,MILLER LAKE WPA,Apr,1,2003
20346,EP PIPELINE,May,0,2011
20347,HUEY,Mar,0,2010
20349,7-MILE,May,0,1994
20350,10246,Sep,0,2010
20374,LINDEN - 38,Jan,0,2009
20382,NUNTRAGUT,Jun,1,2003
20383,MENDENHALL CAMP,May,0,2003
20394,UNNAMED FIRE 3720,Aug,0,2007
20397,HI-LINE,Feb,0,2011
20398,F,Jun,1,1994
20400,SENTINELLA (36),May,0,2015
20404,WHEELEHON,Mar,0,2012
20405,DUCK LAKE,Oct,1,2001
20406,SULLIVAN R,Aug,2,1992
20414,FY2014-DODGE-010,Dec,0,2013
20415,HYDRANT,Mar,0,2002
20416,BLACK GATE,Oct,0,2010
20421,FY2000-LUMPKIN-069,Feb,0,2000
20422,CHEVRON,May,0,2006
20426,KAYS RD 2,Jun,1,2014
20428,LANDING STRIP ( 13 ),Mar,0,2015
20433,CLEBURNE,Mar,1,2004
20440,ROCKY CANYON,Oct,1,2010
20445,SIX SHOOTER,Mar,0,2007
20447,RL139,Apr,0,1998
20463,COUNTY CAMP SET 1 (40),Jan,0,2015
20468,MEDEARIS,Aug,0,2007
20476,FY2002-GRADY-043,Feb,0,2002
20477,SOUTH LAKE,Aug,0,1997
20478,UNCLE SAM FIRE,Jul,0,2009
20479,BAROMETER,Sep,1,2000
20480,DRAGLINE  (43),May,7,2015
20487,30076,Feb,0,2011
20500,L31 EAST,Apr,0,2004
20503,TOMAN,Aug,0,2000
20505,RIGHT FORK OF MIDDLE FORK,Apr,0,1993
20506,CITY,May,0,2013
20511,2128,Apr,0,2012
20516,PLUM CREEK,Apr,1,2013
20517,RED TAIL,Aug,0,2005
20524,DIAMOND RANCH,Mar,0,2011
20526,CASINO ENTRANCE,Feb,0,2009
20528,HILLSIDE,Aug,0,1995
20535,FISH LAKE (RX/WF),May,0,2000
20536,SQUAW CRK,Jun,0,1995
20547,FY2014-SCHLEY-012,Apr,1,2014
20548,BYLAS FARMING,May,1,2009
20553,FY2013-JASPER-006,Mar,0,2013
20558,ROBINSON ROCK PIT(38),Jun,0,2013
20560,SLACK CYN,Sep,1,2008
20566,I84 3TA9,Sep,0,1999
20567,FY2015-PIERCE-018,Nov,0,2014
20570,CAMP CREEK,Jun,59,2015
20573,SKYLINE II,Aug,0,1996
20574,WALKINGSTICK,Sep,1,2010
20575,BOUNDRY,May,2,2007
20577,BUNNELS RUN,Apr,0,2002
20581,PASADENA,May,0,2011
20588,STORM CREEK,Jul,8,2013
20602,HENDERSON - 192,Jun,0,2011
20603,RL302,Apr,0,2003
20607,HENDERSON - 020,Jan,0,2009
20608,1.55201E+13,Jul,0,2014
20614,RED LAKE 319,Apr,0,2010
20618,MARBLE,Oct,1,2009
20622,FY2002-RICHMOND-034,Mar,0,2002
20626,SALT CREEK,Jan,0,2008
20635,WEST MESA,Jun,2,1993
20649,WATIE ROCK,Aug,0,2012
20651,PEPPER,Feb,0,2002
20654,CORRAL,Jun,1,1998
20661,BIIRKELAND BROS.,Mar,0,2007
20663,JERRITT SOUTH,Jul,1,2015
20670,OLD DUMP,Jul,0,1997
20671,FY2013-JEFF DAVIS-054,May,0,2013
20673,E39 (06),Jan,0,2012
20674,FY2000-PEACH-017,Feb,0,2000
20693,ABARR,Jul,0,1999
20697,39 HILL,Nov,0,2008
20701,NWILLOWS,Jun,0,2001
20704,WILA MAE LANE,Feb,0,2012
20706,JOHNSON,Oct,0,2006
20714,42/THE 57TH PLACE FIRE,Apr,0,2011
20715,FY2015-WILKES-006,Jan,0,2015
20747,REMINGTON ROAD,May,0,2014
20751,OLD DUMP 1,Mar,0,1992
20752,WALDO,Dec,0,1999
20753,DECKER RIDGE,May,0,2012
20759,ROUTE 630,Feb,0,2000
20765,SHEEP,Jun,4,2012
20772,CR 210 #2,Nov,0,2009
20777,OWEN,Jan,1,2009
20781,JULY,Jul,0,2000
20782,BAY,Oct,0,2015
20788,682,Nov,0,2015
20793,FY2002-CLAYTON-006,Feb,0,2002
20796,FY2001-DADE-031,Feb,0,2001
20797,FY2015-MACON-008,Jan,0,2015
20800,ASPHALT,Jun,0,2001
20824,BOWLING (47),Oct,0,2014
20825,MILL MOUNTAIN,Sep,2,2003
20833,BEAR TOOTH,May,0,2004
20835,FY2002-SEMINOLE-082,May,0,2002
20836,OR-MAF-034,Jun,6,2007
20837,RANGE FIRE,May,0,2011
20840,BEE,Jul,1,2001
20843,GRAVEL FIRE,Apr,1,2011
20846,PALM MEADOW,Dec,0,2013
20850,LINDEN - 40,Jan,0,2009
20853,BUCKSKIN,Aug,1,2012
20854,VILLA NUEVA WEST,Jul,0,2005
20855,RADKIN RANCH FIRE,Jun,0,2011
20859,CHAIR,Jun,0,2006
20862,THE 'T',Aug,0,2004
20865,TOWER,Feb,0,2008
20866,OTTER CREEK,Aug,1,2008
20874,KILLSMALL,Jun,0,2006
20875,BURNT TENT,Apr,0,1999
20883,RIVER,Jul,1,1995
20889,STOTTLER,Mar,8,2006
20891,WALLACE,Jan,0,2006
20910,PETE,Jun,2,2002
20915,SAND POINT II,Nov,0,2007
20922,LYNN ROAD,Jul,17,2012
20923,TRANSIENT CAMP,Mar,0,2015
20929,HALLY BELL CURVE,Oct,0,2003
20930,BRITT,Jul,1,2011
20933,JONES OIL,Aug,0,2012
20938,ST. FLORIAN FIRE,May,2,2005
20940,COCKRAN 3,Dec,1,1995
20950,JUNKYARD DAWG,Mar,4,2007
20952,SAVANAH LANE,Nov,0,2001
20953,UNNAMED FIRE 2034,Jul,1,2007
20956,94,Apr,0,2007
20963,GRIMES,Jun,1,2011
20968,SHANNON BRANCH,Oct,0,2000
20984,PARTRIDGE CEEK,Jul,3,2012
20989,SKUNK,May,0,1997
20991,MOSES,Jul,8,2006
20992,BEN9244970,Feb,0,2014
20997,REZ LINE,May,1,2004
21002,MOCUS,Sep,65,2012
21005,PANTERA,Mar,2,2008
21023,FIRE SAM,Mar,0,2010
21026,ASHLEY RD (43),Apr,0,2014
21042,LAKE,Aug,2,1996
21043,FY2000-SEMINOLE-103,Jun,0,2000
21048,15-0056,Apr,0,2015
21051,LS MESA,Jun,0,2009
21052,NATION,Apr,0,2001
21065,POPE COUNTY,Jun,0,2009
21079,FY2001-MCINTOSH-090,May,0,2001
21087,DEANFIELDSRD.(38),Jul,0,2012
21089,MASON LAKE FIRE,Apr,0,2009
21090,57-MELODY LANE-1213,Dec,0,2010
21091,10049,Jan,0,2009
21093,MONUMENT 2,Aug,0,2004
21094,NO NAME 292,Jul,0,2007
21096,DUMP FIRE - RT 209,Feb,0,2012
21097,BONANZA CREEK,Jul,12,2011
21099,BRIDGE GULCH,Aug,1,2006
21101,451,Aug,5,2011
21102,WATER,Jun,0,1996
21120,HELISPOT FIRE,Oct,0,2009
21122,CARRIZO,Jul,1,1993
21123,OAKOHAY RIVER BRANCH,Oct,0,2007
21125,MICHIGAN,Nov,0,2014
21126,EAGLE CREEK 2,Jul,81,2009
21132,ZEB HAUGHT ROAD,Mar,0,2012
21135,AJ,Jan,0,2009
21146,9 LIVES,Aug,0,1996
21147,STUD HORSE,May,0,2011
21149,RIM ROCK,Aug,1,2007
21158,SPUR,Jun,0,1996
21159,MESSINGER,Jun,1,2009
21164,PRESCRIBE BURN ASSIST (26),Mar,0,2012
21172,FY2000-FLOYD-075,Feb,0,2000
21177,BUCKELY,Mar,0,2009
21179,BULL BEAR,Mar,0,2011
21180,FY2015-WHITFIELD-001,Jul,0,2014
21185,LITTLE BEE,Jan,0,2015
21200,FY2012-JONES-012,Sep,2,2011
21211,WAGONTIRE,Aug,45,2001
21212,HENDERSON - 100,Mar,0,2009
21215,LIVINGSTON - 16,Jan,0,2009
21219,QUINN,Mar,0,2004
21221,FY2001-LIBERTY-078,Mar,0,2001
21222,9043,Apr,0,2014
21224,HWY 132,Jul,0,2004
21227,FLAT IRON,Jul,2,2014
21229,WRONG ROAD,Nov,4,2001
21232,FY2015-SEMINOLE-003,Aug,0,2014
21236,24-Feb,Feb,0,2007
21238,COPPER MTN,Sep,9,2007
21256,FY2011-THOMAS-083,Apr,0,2011
21260,DALTON HOLLOW,Mar,0,2009
21262,FIVE MILE,Jun,1,1999
21264,CAMPFIRE,May,0,2012
21265,STAT # 1,Mar,1,1995
21266,1.47201E+13,Mar,0,2014
21268,DOWNS RD (20-7),Oct,0,2015
21273,SHANE RIDGE,Jul,4,2006
21284,TABLE ROCK,Jul,0,2015
21287,HAWK MOUNTAIN,Nov,0,2014
21288,101 RANCH FIRE,Aug,29,2011
21294,ANAYA 1,Feb,0,2011
21296,COUNTYLINE,Apr,0,2007
21303,PARKE PEAK,Jul,102,2000
21308,FY2015-BERRIEN-029,Mar,0,2015
21309,RIVER FIRE,Aug,1,1996
21311,MARTINEZ,Feb,0,2012
21323,LIVINGSTON - 97,Apr,0,2010
21328,SILVER STAR,Aug,30,2013
21333,RAILROAD ROAD,Mar,0,2010
21338,ENEMY 1,Apr,0,2007
21343,7080,Aug,0,2013
21347,GABE'S,Sep,0,1996
21349,120TH STREET (38),Oct,0,2012
21351,TALLENT,Jun,0,2011
21352,HELLO,May,0,2002
21353,LINDEN - 119,Mar,1,2009
21354,STONE,Mar,0,2000
21360,FY2013-TELFAIR-026,Jan,0,2013
21365,8010,Jan,0,2014
21366,MANDAREE,Apr,0,2012
21371,NORTHRIDGE PLANTATION,Feb,0,2011
21376,NEWALD TOWER,Apr,0,2009
21378,NORTH RABBIT,Jul,66,2013
21381,SKYBROOK,Nov,0,2012
21382,STATELINE,Aug,0,2006
21390,FY2013-TAYLOR-030,Mar,0,2013
21393,HILLTOP,Aug,0,2005
21397,N OIL CNYN,Jul,1,2000
21401,ALAFIA (29),Jun,3,2013
21402,SINGED FIRE,Apr,0,2007
21410,ENTERPRISE OSTEEN RD (64),Apr,0,2014
21414,LOYD RD,Mar,0,2009
21417,HECTER,May,0,1999
21422,RL077,Apr,0,2007
21431,BROWN,May,11,2015
21460,CUSTER RD (17),Feb,0,2013
21464,TROUBLE ROAD,Nov,0,2001
21467,NORTH FORK,Jul,0,2008
21471,WEST,Jun,0,2012
21476,30378,Mar,0,2009
21488,LISBOA,Jun,0,2000
21492,FREDONIA DR. FIRE,Apr,0,2014
21496,SUN DOWN,Aug,1,1994
21503,MERRITT,Apr,0,2015
21504,10017,Jan,0,2009
21511,0288 SHOOFLY,Jul,4,2012
21520,ALPINE RD,Mar,0,2007
21525,MOLLY,Apr,1,1999
21534,MITCHELL LAKES,Jul,5,1994
21536,NORTH RANGE,Jul,0,2011
21537,#538,Aug,0,1996
21540,RIVER,Sep,0,2000
21541,AVE 54  / GRAPEFRUIT BL,May,0,2013
21551,MONK,Jul,1,2008
21553,SANSON,Aug,0,2000
21557,20370,Mar,1,2009
21563,FY2015-MITCHELL-020,Apr,1,2015
21565,ROBLAR,Sep,0,2008
21567,WET,Jun,0,2011
21576,PINNACLE CREEK,Nov,0,2001
21594,JOBCORP,Oct,1,1999
21600,CHARTER SCHOOL,Apr,0,2012
21606,BUCKEYE,Aug,1,1998
21608,BURKE,Aug,121,2000
21612,SARGENTS 2,Jun,0,2009
21616,SNOW,Jun,1,1999
21622,OAK RIDGE FIRE,Sep,1,2009
21624,DOFBEAR,Jul,0,1998
21626,MONDAK,Aug,1,2007
21635,DEVILS PILE,Apr,1,2005
21636,KLOSTERMAN,Jul,0,2006
21637,LEACH,Jul,1,1992
21640,FREDONYER,Aug,1,1992
21650,CORDER HOLLOW RD,Nov,0,2010
21655,237THAVE,May,0,2002
21667,LINDEN - 125,Aug,0,2010
21668,OVER KILL,Apr,0,2003
21669,BAG,Aug,0,2004
21673,KELTERSON,Mar,0,1998
21686,WAKE,Jun,7,2009
21691,108TH TER.(38),Apr,0,2012
21721,FY2012-WILKES-014,Oct,0,2011
21722,FY2011-COFFEE-047,Feb,0,2011
21731,FORTNER ROAD FIRE,Feb,261,2015
21734,HOPPER,Aug,6,1997
21737,BEHIND THE LAKES FIRE,Apr,0,2010
21738,GUICK,Feb,0,2015
21744,FY2002-SCREVEN-072,Mar,0,2002
21750,FY2011-WAYNE-060,Feb,0,2011
21755,201 CAR,Nov,0,2005
21756,LOST,Dec,0,2006
21761,BIG BEAVER,Aug,47,2013
21764,BAR-Z RIDGE,Jul,20,1999
21769,OBC,Jul,0,2000
21773,SNELL 2,Sep,0,2011
21778,5.20141E+11,May,0,2014
21785,6126,May,0,2014
21786,FY2000-JONES-085,Jun,0,2000
21790,4 BIG RUTS,Mar,0,2014
21791,LONG PINE,Apr,0,1995
21801,GLADDING,Jul,0,2014
21815,SE58,Jan,0,2006
21816,NOGALES,Mar,1,2008
21828,LOUIS LAKE,Jul,74,2004
21829,COUNTY ROAD 235 FIRE,Aug,1,2011
21837,UNION GROVE CHRUCH FIRE,Mar,0,2010
21841,MYRTLE,Jul,0,1996
21845,ED,Oct,0,2003
21849,767,Oct,0,2015
21850,NOKOMIS ROAD (17),Mar,0,2013
21851,"28668 HWY 17 N., AL",Oct,0,2011
21853,QUARRY,Jun,0,2013
21859,CARL,Mar,0,2012
21865,SHEENJEK,Jun,62,2003
21868,BROWN,Aug,0,2009
21871,END,Mar,2,2014
21874,PLANK ROAD SCHOOL,Apr,4,2010
21878,BOAT,Jul,0,1996
21895,WA ZHA ZHI,Apr,0,2009
21912,WINAWAY LANE,Apr,0,2009
21917,L RANGER,Feb,0,2012
21918,UNNAMED FIRE 0100,Aug,0,1998
21919,FY2013-LAURENS-068,Nov,0,2012
21921,BONEYARD,Apr,0,2013
21925,DALES,Oct,2,2005
21931,30491,Oct,0,2010
21945,FY2014-FLOYD-018,Nov,1,2013
21948,FY2000-MILLER-080,May,0,2000
21949,RUNAWAY,Jul,0,1995
21950,FY2002-EFFINGHAM-072,Mar,0,2002
21953,PONDEROSA,Jun,0,2010
21955,CAMPO,Aug,1,1999
21963,DINK RIDGE,Sep,2,2007
21965,FY2011-HARALSON-090,Jun,0,2011
21966,PAULS CREEK,Jun,67,2015
21968,RT 23,Feb,0,2000
21970,CREEK,May,0,2005
21995,LINDEN - 7,Jan,0,2011
21997,R144,Apr,0,1998
21998,COUNTY LINE,Dec,0,2008
21999,FY2001-LUMPKIN-087,Apr,0,2001
22001,BROTHER,Jul,1,2005
22006,SOGGY DITCHES,Mar,0,2010
22018,ECHO,Jul,1,2005
22025,FY2002-RICHMOND-015,Nov,0,2001
22027,UNION T,Mar,1,1997
22048,LITTLE LK BRYANT 15,Apr,7,2012
22049,BURNWATER1,Sep,0,2003
22060,30595,Dec,0,2010
22064,FY2014-BURKE-054,Apr,0,2014
22068,BULLIS,May,0,1992
22073,TRASK LAKE,Aug,9,2014
22074,CALIENTE,May,1,1997
22077,ROADSIDE,Jun,0,2001
22078,MS1715,Apr,0,1995
22087,ROBINSON,May,1,2002
22102,WILLIAMS HILL HAY FIRE,Nov,0,2015
22104,1.09202E+13,Feb,0,2015
22109,LAKE ARDOC,Apr,0,1993
22123,OR-MAF-12269,Sep,1,2012
22125,ALLENS CREEK,Mar,0,2004
22126,PINE CREEK,Apr,0,2013
22127,FY2002-HARRIS-016,Oct,0,2001
22136,BELLRIDGE,Sep,0,1997
22138,SAWDUST,May,92,2000
22142,FY2002-BUTTS-014,Feb,0,2002
22145,186,Oct,0,2015
22147,MDF DGBSFMU16 POWER2,Aug,2,2009
22148,BIG MUDDY,Nov,0,2005
22153,HAVBURG ROAD (17),Oct,2,2011
22156,OLD COVERED BRIDGE,Mar,0,2014
22159,WOODSON CHAPEL,Nov,0,2010
22160,32/BLOUNT RD-0274,Feb,0,2011
22174,HAYBALES,Nov,0,2006
22176,LAGOON,Mar,0,2012
22179,HURTADO,Jun,30,2007
22182,LGT 35,Jul,1,2003
22184,BUFFALO CR,Oct,0,2003
22185,BARE,Jul,1,1995
22186,SLAUGHTER,Sep,0,1999
22187,HUTCH #5,Feb,0,2000
22193,FY2013-COWETA-028,Mar,0,2013
22198,091 MARKEE 2,Aug,0,2011
22199,HARDIN CREEK,Apr,0,2011
22202,ASPARAGAS FIRE,Jan,0,2009
22205,MAY,May,0,1995
22208,GERTIE,Aug,3,1999
22209,BERNE TWP.,Mar,0,2003
22217,MORGAN COVE,Mar,0,2004
22219,KANE,Aug,2,2000
22220,SPEAKTHUNDER,May,0,2007
22222,9.32014E+12,Apr,0,2014
22223,CATHEDRAL,Aug,77,2015
22226,HACKMATACK PETERSON TRACT,Apr,0,2014
22231,WESTWOOD,Jun,0,2015
22234,BOMBAY II (34),Mar,0,2012
22237,FARMER JOHN,Jun,0,2006
22238,DUSTIN,Dec,0,2005
22260,BALD ROCK,Nov,0,2011
22263,ALTO WATERWORKS,Apr,0,2011
22264,CORN CREEK,Jun,8,2008
22266,TROUT CR,Aug,6,1999
22286,FY2002-HARALSON-049,Feb,1,2002
22295,PREMIER,Mar,0,2012
22297,MORWAY,Jun,0,1993
22299,MNI YUCCA,Aug,0,2012
22301,CAMAS,Aug,0,1999
22302,OPEN GATE,Mar,1,2006
22314,FY2003-DADE-002,Jul,0,2002
22316,940 RENDEZVOUS RD,Feb,0,2009
22323,RODEO,Jul,3,1994
22325,"CR 128, AL",Nov,0,2011
22335,FY2012-TOOMBS-038,Feb,0,2012
22337,REDMOND RD,Sep,1,2011
22342,77 ROAD,Jul,0,2006
22350,RATTLESNAK,Jul,1,2000
22354,BEAR HOLLOW,Mar,0,2014
22355,OXENDINE 6 FIRE,Apr,0,2014
22358,LINDEN - 629,Sep,0,2011
22362,FY2000-HARALSON-060,Mar,0,2000
22386,LINUS,May,0,2012
22387,FY2013-PULASKI-049,Jun,0,2013
22392,CORTEZ,Jun,1,2002
22393,WHISKEY SPRINGS,Aug,1,2001
22396,WEAVER,Jul,0,2004
22397,FY2012-BULLOCH-052,Feb,0,2012
22401,EARS,Aug,0,2011
22403,HAMBONE,Sep,0,2003
22409,CLAYJACK RD,Feb,0,2011
22418,TAD,Apr,0,2004
22419,ALTA LAKE,Jul,7,2012
22421,ROCK LANDING,Jun,1,1998
22429,20205,Aug,0,2010
22432,NEW HOLLAND,Aug,0,2008
22439,GARFIELD,Jul,0,2011
22441,DIRTY PETE,Jul,0,2009
22442,DUPONT STREET (40),Dec,0,2013
22443,FY2011-MONROE-020,Mar,0,2011
22453,GFX ASSIST 9,Jun,1,2006
22459,FY2002-CATOOSA-022,Nov,0,2001
22461,1560027,Mar,0,2015
22466,"26880 HOMESTEAD LN, AL",Jan,0,2011
22469,MARIJILDA,May,7,1993
22474,PIPELINE ROAD,Sep,0,2015
22479,BB BALE,Oct,0,2015
22485,ST.MARTIN'S #2,Jul,1,2000
22494,WOODLAND,Apr,0,1993
22502,CKERSTEIN2,Jun,0,2002
22514,"ACEVEDO, J",Jun,0,2010
22521,500K,Feb,3,2002
22524,LAKE LURE INN FIRE,Mar,1,2014
22527,DARK,Apr,0,2008
22531,COUNTRY CLUB,Dec,0,2011
22533,WILDHORSE,Jun,1,1996
22536,WOODVILLE - 2,Jan,0,2009
22545,RIDGE,Mar,0,2012
22555,FISHER FIRE,Nov,0,2011
22559,HERSLY,Sep,0,2000
22562,SEQUOIA,Jul,45,2002
22576,118936-07147-02242015-1516,Feb,0,2015
22577,TRACK,May,0,2001
22585,LA JOYA,Feb,0,2009
22590,FIREBREAK FIRE,May,0,2007
22591,FY2013-PIKE-001,Jan,0,2013
22594,TRIBAL FISH,Feb,0,2015
22595,WHITE ROCK LANE,Mar,0,2015
22598,FY2013-SEMINOLE-006,May,0,2013
22602,63RD STREET,Aug,4,2011
22606,JENETT,Jun,0,1992
22607,MARION/THE BAHIA FIRE,Mar,0,2011
22610,PREMERE,Jul,14,2001
22616,FY2015-BIBB-007,Jan,0,2015
22624,RABBIT #2,Aug,0,1993
22625,LOCKE MTN.,Aug,0,2003
22630,DEEP CREEK,May,0,2011
22640,FY2002-WAYNE-091,Jun,0,2002
22647,IMPACT (29),Sep,0,2015
22651,POLK OSCEOLA (53),Jan,0,2012
22654,FY2001-ECHOLS-035,May,0,2001
22667,413 9TH E,Jun,0,2009
22672,FRENCHVILLE,May,0,1992
22688,30199,Mar,0,2011
22691,COVE LAKE,Aug,1,2012
22693,UGLY BLUE,Jan,0,2010
22695,CASE IH,Oct,0,2000
22697,30377,Aug,0,2012
22699,ALL,Jul,0,2001
22704,JUNIOR,Apr,0,1996
22708,PECK,Aug,0,2009
22709,SENECA CREEK,Feb,0,2011
22715,(OK) CABBAGE (108),Feb,0,2011
22729,RL072,Apr,0,2008
22731,1.59201E+13,Dec,0,2014
22734,PASEO,Jun,0,2013
22735,6248,Aug,0,2013
22740,BUTTE,Aug,0,2007
22742,BOWL,Feb,0,2013
22743,SADDLEMTN,Mar,0,1994
22763,FIRSTROAD,Mar,0,1993
22767,SOFTBALL F,Nov,0,2001
22772,TRIPLE SHREDDED,Jul,0,2012
22775,7.2015E+11,Apr,0,2015
22780,PASS CRK,Aug,3,1999
22782,10170,Mar,2,2011
22793,WOLFE,Oct,5,2000
22802,0782  WHISKEYSPRINGS,Sep,48,2013
22806,DUCK,Jun,1,1995
22810,HIGHWAY,Apr,1,2012
22813,SPEIGHT RD FIRE,Feb,0,2010
22816,BIRCH DRIVE,Jan,0,2013
22818,FOUR,May,1,2012
22825,522,Nov,0,2008
22828,SOUTH NISQUALLY,Mar,0,2005
22833,HECHTMAN,Aug,57,2000
22838,WET,Nov,0,1996
22849,MAVERICK,Jul,0,2004
22863,LAKE,Sep,1,2011
22866,NATIONAL,Sep,0,2004
22876,LOGAN,Aug,12,1997
22886,PINEY RIDGE # 3   (30 ),Feb,0,2012
22888,FY2014-POLK-003,Sep,0,2013
22890,LATHAM RD. FIRE,Mar,0,2014
22891,TFS 61,Mar,1,2002
22898,HAYES BRANCH,Apr,0,2013
22910,LA ROSITA 2,Jul,1,2004
22915,JOHNNY,Mar,0,2006
22916,JOHNS ROAD (25),Jan,0,2012
22920,30266,Apr,0,2010
22937,OR-MAF-154,Aug,1,2006
22957,STATE 135,Jan,0,2006
22966,FERRY ROAD,Oct,0,2001
22967,125 IUA 27,Dec,0,2010
22971,DUNDEE,Jan,0,2008
22973,WOLVERINE2,Aug,1,1996
22976,14-OAK RIDGE FIRE-0161,Feb,0,2011
22983,OASIS,Jul,1,2006
22987,FY2013-EVANS-019,Mar,0,2013
22988,SPUD PATCH,Jun,0,2002
22991,SIX SPR 2,Aug,1,2005
22994,SHOTGUN,Aug,0,2006
22995,MISSOURI FORK,Nov,1,2004
22999,RATTLESNAK,Mar,0,2002
23005,WILLIAMS,Apr,0,2013
23010,BNSF,May,0,2010
23012,DUAL,Jul,0,2006
23015,RAZOR,Aug,5,2013
23025,FY2012-UPSON-008,Oct,0,2011
23028,120938-02319-03222015-2048,Mar,0,2015
23035,SOUTH BULL LAKE,Jul,6,2012
23036,ROCK,Aug,1,1999
23042,PINE STRAW,Jan,0,2008
23046,10011,Jan,0,2011
23049,POWERLINE,May,0,2015
23050,ROCK CREEK,Jan,0,2006
23052,FY2001-MURRAY-019,Oct,0,2000
23053,FY2000-MACON-037,Apr,0,2000
23072,BLAND,Jul,1,2001
23087,BABO 1,Feb,1,2006
23094,DRIP TORCH,Mar,0,2001
23097,CUB,Aug,14,2009
23098,RUSH,Aug,71,2012
23103,BLUE DRAW,Jul,1,1992
23106,COYOTE,Sep,1,2005
23107,CAPPS FIRE AT AFA,Mar,1,2011
23108,CRAFT RANCH FIRE,Jul,3,2009
23114,PHILLIP JOHN,Jul,1,2013
23119,PINKSTON RD (51),Apr,0,2013
23123,FY2011-LIBERTY-040,Feb,0,2011
23124,C. PERRY,May,0,2013
23128,SANDHILL CRANE (10),Oct,0,2015
23129,REDWATER,Feb,0,2005
23130,LAKESIDE,Jul,2,2010
23131,STATION FIRE,Mar,0,2014
23141,FY2002-DECATUR-049,Jan,0,2002
23142,GRASSHOPPER,Jun,0,2006
23144,SPRUCE LAURAL FK,Apr,0,2001
23145,HAVER HILL FIRE,Nov,0,2008
23150,HUS SW 30,Jul,17,1994
23151,STEHLIK FIRE,Apr,0,1999
23152,DAVID BRIGHT ROAD,Jun,0,2011
23161,LET IT BURN,Mar,0,2014
23164,UPPER PASS,Nov,0,1996
23165,LEVY,Jun,0,2009
23182,UNKNOWN,Jul,0,2013
23183,SW237AVE#6,Jul,0,1992
23184,CARRIZO,Jul,0,2005
23190,HENDERSON - 028,Apr,0,2010
23191,FERNANDEZ 30,Jun,10,2013
23195,PRINCESS PLACE   (18),Mar,1,2012
23196,SHADOWLAWN (10),Aug,0,2011
23203,WESTLAKE,Jul,1,2006
23210,CATTAILISL,Aug,0,2000
23218,NEW SWEDEN,Apr,0,1992
23222,WF BIG HILL DEPOT,Oct,0,2010
23224,LINDEN - 207,Oct,1,2010
23228,ICE,Apr,3,2009
23230,WEDNESDAY FIRE,Dec,0,2006
23235,OXY,Apr,0,2009
23237,BULLOCK,May,56,2002
23240,BIG SAGE,Aug,2,2008
23241,BN3,Apr,0,1999
23253,121284-10952-03302015-1058,Mar,0,2015
23258,MHM NE 22,Jun,31,1993
23259,BLACKTAIL 1,Aug,2,2011
23263,FY2013-WAYNE-042,Mar,0,2013
23264,PRINCESSA,May,0,2008
23268,WESLEY CHURCH ROAD,Feb,0,2011
23270,DUNKIN,Apr,0,2014
23271,LOST HORIZ,Jun,5,1996
23277,NO KEY,Mar,0,2008
23279,LUMBEE AVE FIRE,Apr,0,2010
23280,RAMSY 1,Jul,4,2014
23282,A1305039,Mar,0,2005
23285,FLAT,Aug,0,2005
23286,BEOWAWE,Jul,0,1999
23287,MONSON,Apr,0,1999
23289,FY2002-PULASKI-061,Mar,0,2002
23290,2.92015E+12,Feb,0,2015
23291,FY2012-JOHNSON-027,Nov,0,2011
23293,MANCOSCRK,Apr,0,1996
23300,BEGGS,Mar,0,2013
23303,FRAZER LK,May,9,2000
23305,SCOTTS,Aug,0,2003
23307,OTA 35,Jun,0,2010
23308,LEAD MOUNTAIN POND,Jun,0,2014
