,fire_name,fire_cause
1013,HICKEY,Debris Burning
1016,GENE,Lightning
1017,READING,Other
1018,CURTIS ROAD,Utilities
1022,ROCK,Lightning
1023,382,Debris Burning
1030,20034,Arson
1031,WILKEY RD. 11/22/14,Debris Burning
1035,WALKER,Lightning
1040,SELECK (64),Lightning
1041,MAUER,Lightning
1042,30117,Other
1045,"361 NEWTON HILL RD., AL",Debris Burning
1056,TWP ROR,Other
1062,LEONS,Debris Burning
1083,SCATWIL 01,Lightning
1086,FAREWELL,Utilities
1087,NYGARD,Debris Burning
1089,JEEP TRAIL,Utilities
1093,DEAD MAN,Arson
1097,MOORE,Debris Burning
1099,COLE CREEK,Utilities
1101,RED LAKE 178,Arson
1103,LENA,Arson
1104,JAKE,Arson
1113,JAZZY GIRL,Other
1122,GOOD LUCK,Utilities
1127,CHUI CHU,Other
1129,551 JARVISBURG RD,Utilities
1131,TEN MILE,Lightning
1140,FY2001-PULASKI-038,Debris Burning
1145,MILE POST 6 FIRE,Other
1151,DALY,Accidental
1153,JOLLY RODGER,Lightning
1158,515,Other
1172,FOWLERS FIRE,Other
1180,HILL,Other
1182,PEONY,Debris Burning
1197,SIMMONS POND FIRE,Other
1199,RED WILLOW,Lightning
1207,MUSKEGON 03,Utilities
1210,WESTON HILLS,Lightning
1211,2011-CARUSO FIRE-0106,Utilities
1212,LONG BRANCH,Accidental
1213,DEEP CREEK,Lightning
1214,FY2001-BRANTLEY-088,Debris Burning
1215,STOCKDALE,Other
1235,CHANDALAR,Lightning
1236,WILLIAM SMITH ROAD,Accidental
1247,FY2014-LOWNDES-009,Accidental
1251,BOULDER-WYMAN,Other
1260,4TH OF JULY,Accidental
1261,REBURN,Other
1271,H HOLLOW 2,Lightning
1276,8054,Debris Burning
1277,UNNAMED FIRE 1981,Arson
1285,STERLING FIRE,Arson
1291,OLD WHETSTONE,Debris Burning
1294,MURPH,Accidental
1297,FY2012-DECATUR-001,Debris Burning
1304,DEER LAKE,Arson
1308,6272,Other
1309,HIDDEN AGENDA,Arson
1310,POPLAR,Debris Burning
1312,RL059,Arson
1323,DONUT,Accidental
1327,BLUE,Arson
1328,UNIT 48,Lightning
1334,LINDEN - 6283,Other
1336,HENDERSON - 385,Utilities
1338,RL37,Other
1339,WOODVILLE - 200,Lightning
1340,HURRICANE ASST. #3,Other
1351,OTA 11,Other
1357,REICHWEIN RD,Debris Burning
1368,FY2013-BULLOCH-053,Debris Burning
1370,BROOLYN BRIDGE,Utilities
1375,MCNIGHT FIRE,Lightning
1376,"LOST CREEK RD, AL",Arson
1383,WHITE BODY,Other
1393,CAYUSE,Lightning
1399,UNKNOWN,Accidental
1406,LAGUNA,Other
1416,LONGHOLL2,Debris Burning
1423,RL192,Accidental
1430,CANADA,Lightning
1432,FY2015-COWETA-013,Debris Burning
1436,LIVINGSTON - 231,Arson
1441,DEEP LAKE,Lightning
1454,HIDDEN VALLEY,Lightning
1455,MS2003,Debris Burning
1459,BIRTHDAY (38),Lightning
1466,AIRPORT,Utilities
1474,LA PLATA 3,Lightning
1480,SLICK CREEK 8,Other
1482,HORSE STABLE,Other
1489,SOME KUDZU,Arson
1496,RL489,Debris Burning
1512,8017,Debris Burning
1518,FLEMING,Utilities
1519,WHEAT,Arson
1520,STATE,Other
1522,RT 10 NEAR SAND CREEK,Debris Burning
1523,LIVESTOCK YARD,Other
1528,FITZHUGH WILLIAMS LN,Debris Burning
1529,VALLEY CRK 184,Other
1531,OWL SPRINGS 1,Arson
1536,HAWK CREEK,Lightning
1539,RADIO RANGE,Utilities
1542,HONDAH,Utilities
1543,LIVINGSTON - 52,Arson
1555,PETERSONII,Other
1564,H. GROUND,Arson
1565,RIDGE,Lightning
1566,MOSQUITO CREEK,Lightning
1567,11-00098,Other
1568,"9769 HWY 159, AL",Debris Burning
1583,HOLIDAY,Other
1585,FY2013-DECATUR-006,Debris Burning
1593,GOOD FRIDAY,Accidental
1599,PENNER POND 21,Lightning
1604,RL636,Other
1608,SAPLIN HEAD,Accidental
1610,WEBB ROAD,Arson
1613,GREEN PASTURES FIRE,Debris Burning
1620,GARDEN BURNER,Arson
1624,HOURGLASS,Lightning
1626,LIME KILN #1,Lightning
1629,MELTON 1,Lightning
1633,30463,Arson
1634,JOSHUA,Lightning
1639,15-0156,Utilities
1642,FY2012-DOOLY-025,Utilities
1643,JOHN STARR,Lightning
1665,17-PILGRIM TRAIL FIRE-0309,Other
1669,C-1 WASH,Lightning
1670,LAWN MOWER MAN,Other
1673,FIRE BALL,Utilities
1677,LEWIN,Utilities
1681,BIG HLW 2,Other
1687,MERRIWEATHER,Other
1688,BANKS,Accidental
1694,A. J. LANE,Debris Burning
1695,FY2011-CALHOUN-034,Debris Burning
1705,HEISLER RD (32),Debris Burning
1707,OTA 11,Lightning
1710,ASH,Utilities
1711,RUUD,Debris Burning
1712,LESLIE,Other
1713,KING RUN ROAD,Arson
1714,DEAD CALF,Arson
1717,STONE HOUSE RD.,Utilities
1718,WALATOWA,Arson
1719,CAP1,Lightning
1720,MULE PASS,Other
1737,WINNIE DAM #1,Arson
1751,SECTION 30,Other
1755,ANDERSONBR,Lightning
1761,FY2014-MACON-010,Debris Burning
1762,NORTH BEAVER CREEK,Lightning
1764,"27301 CORD 32, AL",Other
1772,B FIREHOLE,Lightning
1776,BOLGER FIRE,Debris Burning
1788,008-032,Other
1791,TH1815,Arson
1792,FY2015-EARLY-015,Debris Burning
1794,FY2012-MERIWETHER-006,Debris Burning
1795,NOT READY,Debris Burning
1797,LINDEN - 235,Lightning
1811,CAN,Utilities
1817,RT301EAST,Accidental
1818,BUTTERMILK,Lightning
1819,"1724 ROBERTSMILL POND RD, AL",Debris Burning
1835,MHM SE 36,Lightning
1837,JACK KNIFE II,Lightning
1852,JEFFERSON,Arson
1855,PAPOOSE,Lightning
1861,WESTWATER 1,Lightning
1869,DEER VALLEY FIRE,Other
1870,RL212,Other
1878,35 E,Debris Burning
1881,EUCALYPTUS 2 (26),Lightning
1882,WATER TOWER,Arson
1883,NESP DUMP,Other
1892,STEAMHOLLO,Other
1898,HARMON II,Debris Burning
1902,DITCH,Other
1906,17 - HWY 90 FIRE,Debris Burning
1909,LOST 2,Debris Burning
1913,30445,Debris Burning
1922,(OK) LARSONS (746),Other
1923,RED HOUSE 2,Lightning
1926,15-BLUE DUCK FIRE SET 2-0121,Arson
1939,FY2015-RANDOLPH-009,Debris Burning
1945,MS2208,Arson
1949,UPO,Other
1955,RED LAKE 069,Arson
1959,FY2003-BARTOW-006,Arson
1961,8TH HOLE,Other
1962,SNIDER,Debris Burning
1971,FRANKS RD FIRE,Lightning
1974,SQUIRREL,Lightning
1985,FOWLER CREEK,Debris Burning
1986,DENNY,Debris Burning
1988,FY2002-BULLOCH-137,Arson
1989,FAIRVIEW,Utilities
1994,TOWNHALL,Other
1997,BARNES FIRE,Debris Burning
1999,7055,Lightning
2000,ALCHESAY,Lightning
2005,RIVERA,Utilities
2012,TUTON,Lightning
2014,WOHLFORD 3,Other
2015,17CALIBER,Utilities
2019,1191,Debris Burning
2023,JENKINS FORK #2,Arson
2026,R7,Accidental
2027,2NDCHANCE,Debris Burning
2028,FY2013-PIERCE-004,Debris Burning
2032,FY2012-BULLOCH-044,Debris Burning
2056,30157,Debris Burning
2059,HOTSPRINGS,Debris Burning
2061,SCHOLHOUSE,Debris Burning
2077,CENTURY,Other
2089,TOAD,Lightning
2101,JIM CREEK,Debris Burning
2103,FIVE STAR,Other
2108,HENDERSON - 068,Debris Burning
2118,LMU LGT 56,Lightning
2119,SUNDANCE,Lightning
2122,GARCIA 2,Arson
2124,SHELL,Lightning
2125,W.PRYORS,Lightning
2126,LOVE CEM. RD.,Other
2128,4.72014E+12,Utilities
2129,BALL HILL,Debris Burning
2131,CR 392 (07),Other
2135,RL036,Arson
2138,KENTON,Arson
2143,HAZ HOGS,Debris Burning
2157,BLACK CREEK,Accidental
2159,HORSESHOE LAKE,Other
2168,AIRPORT 1,Arson
2170,THIRTY,Other
2184,TWO FINGER,Arson
2195,PARKER CANYON,Accidental
2202,20126,Arson
2203,05-02-NOV/MORRIS FIRE-1807,Debris Burning
2205,HAMPTON 5 (53),Arson
2213,RUBY,Other
2227,CUTTING TORCH FIRE,Other
2231,SLASH,Lightning
2232,RL037,Debris Burning
2234,PINE WOOD (5),Arson
2235,RL 337,Arson
2238,HWY. 157,Debris Burning
2243,EL MIRAGE,Other
2248,FFS 136/ 184 WF,Other
2256,LAWN CHAIR,Other
2260,NO ACCESS,Other
2261,CEDAR CANYON,Debris Burning
2268,SPAR PEAK,Lightning
2270,COUNTY LINE,Lightning
2273,NORTHCINDR,Lightning
2292,TREE,Arson
2300,CALPAC4,Arson
2301,415 POWERLINES (64),Lightning
2302,LOUISIANA MAN,Arson
2304,FY2000-GORDON-066,Arson
2317,ORGAN,Lightning
2326,POTTER 2,Lightning
2327,WHITE,Debris Burning
2328,IRON HAWK,Arson
2329,COOPERS CR.,Debris Burning
2336,25 MILE II,Other
2354,RND BALE 2,Other
2355,(MA) ROSEMARY ONE (433),Lightning
2357,NE 30136,Arson
2360,7059,Debris Burning
2362,COOPER CREEK,Accidental
2363,VAN10310565,Utilities
2368,ARMIGO,Lightning
2371,WNA 19,Lightning
2374,77TH RD(61),Debris Burning
2378,LINDEN - 6147,Arson
2391,FLARE,Arson
2407,MOSS SPRINGS,Lightning
2436,POWERLINES,Utilities
2440,INVERNESS (26),Arson
2443,REFUSED FIRE,Debris Burning
2445,PRIVATE FARM RD,Debris Burning
2449,STILES COMPLEX,Other
2453,FY2000-MILLER-047,Debris Burning
2458,LONG BRANCH,Other
2470,FY2001-DECATUR-053,Accidental
2471,FY2002-FLOYD-044,Arson
2474,CACHE,Lightning
2477,MOSS BUFF 18,Debris Burning
2478,BUNYARD,Arson
2488,MOSELEY MOUNTAIN FIRE,Accidental
2492,JOHN DEERE,Lightning
2496,MACK LAKE,Arson
2499,EJ RANCH,Lightning
2500,S5WEST BOUINK MTN,Arson
2501,OAK II,Arson
2513,TALLULAH RIVER #3,Arson
2516,CARIBOU,Accidental
2521,LITTLE SAL,Lightning
2527,NEVADA.,Utilities
2533,FLATIRON,Utilities
2534,LILLIAN,Arson
2546,ROLLOVER CREEK,Other
2547,LONG POND,Debris Burning
2553,DUNN,Arson
2558,DUMP,Other
2560,OREO LANE,Debris Burning
2563,1058,Other
2569,BARE MT,Lightning
2570,FY2002-HOUSTON-037,Debris Burning
2571,HUNSINGER,Lightning
2579,COYOTE,Arson
2582,LUCY BROOK,Other
2583,RUNNER,Utilities
2595,OTA 144,Arson
2600,FY2012-GRADY-023,Debris Burning
2613,VALDEZ FIRE,Arson
2615,RIGHT FLAN,Lightning
2621,A1302056,Accidental
2622,3RD KENNDEY,Arson
2630,GREENBRIAR ESTATES  (55),Arson
2641,MINE,Other
2648,ALDRICH BRANCH #2,Arson
2650,PARKER,Lightning
2657,FALKOR,Lightning
2659,R182,Accidental
2660,LEWIS,Utilities
2661,JONES LOOP 485,Debris Burning
2674,SCONA LODGE,Arson
2687,HASTINGS,Accidental
2692,FY2011-COFFEE-066,Debris Burning
2693,SUMMIT,Accidental
2705,SAND CREEK,Other
2708,OLD AIRPORT 3,Accidental
2712,FY2011-CLAY-025,Lightning
2714,R16,Debris Burning
2722,SHIPROCK01,Accidental
2725,BEN SPRINGS,Lightning
2736,SLADE ROAD,Debris Burning
2739,SHOCKEY,Other
2740,RRMP415,Utilities
2749,OAK,Debris Burning
2751,TP,Debris Burning
2753,SABAL PALM (11),Lightning
2757,10517,Lightning
2763,KOELLING,Other
2766,30389,Arson
2774,9.12014E+12,Accidental
2782,340 N. OLDENWAY,Other
2787,KEE FIRE,Debris Burning
2788,KEELING,Debris Burning
2795,HENDERSON - 7111,Lightning
2800,MACHINE,Other
2803,BLUEJAY 97,Lightning
2816,JOHNSONVILLE SCHOOL ROAD 2,Debris Burning
2817,BACHELOR CREEK,Lightning
2830,WAGON WHEEL,Arson
2832,FY2014-OCONEE-001,Debris Burning
2833,SPLINTER,Lightning
2837,AIRPORT,Arson
2838,FY2013-RICHMOND-011,Debris Burning
2845,BALFOUR 2,Other
2849,CRA13818841,Debris Burning
2859,FY2002-BULLOCH-125,Arson
2860,OR-MAF-2014-14410,Lightning
2864,COTTONWD#2,Lightning
2866,JOHNNY,Lightning
2868,RL520,Other
2872,FY2012-BLECKLEY-008,Debris Burning
2878,ROLLER COASTER,Debris Burning
2887,SALT CREEK,Utilities
2902,FY2001-MILLER-032,Debris Burning
2905,TWIN PEAKS,Lightning
2924,TUBE,Lightning
2925,FIXICO,Other
2929,MT. MISERY,Other
2932,INC 194,Lightning
2934,COORS FIRE,Arson
2948,RODGERS CREEK,Debris Burning
2951,PRAIRIE,Debris Burning
2960,BROCKTON,Accidental
2966,SCISSORS,Arson
2974,CLARE 12,Other
2975,FY2013-MACON-014,Debris Burning
2978,IRONWOOD DR. FIRE,Other
2979,BLACKHAWK,Lightning
2984,WHISKEY SP,Lightning
2985,TH1814,Arson
2986,FIVE POINT,Lightning
2987,TIRE,Other
2994,HORN,Lightning
2997,HOLY,Other
3007,MILL DAM 2,Arson
3009,FIRST BOX,Lightning
3010,KEENEY,Lightning
3012,LAKE MOUNT,Lightning
3019,LOOKOUT,Utilities
3022,DUMP 2,Debris Burning
3027,FY2000-HALL-023,Arson
3028,FY2013-BALDWIN-008,Accidental
3030,DEEP CREEK,Lightning
3036,PIPKIN HILL,Arson
3038,25,Accidental
3044,LANCASTER,Debris Burning
3047,NEW COLONY DR,Other
3050,FORNET,Arson
3060,COLD SPRINGS RANCH #470,Utilities
3065,RL523,Debris Burning
3084,COLVILLE,Lightning
3085,EXCHANGE RD. 1,Debris Burning
3090,ROBIN CREEK 2,Lightning
3097,THREADGILL,Arson
3107,SLIDE CREEK,Lightning
3109,F.D.-2,Arson
3116,BREWSTER,Lightning
3118,HONOR,Accidental
3121,TRUMP ISLAND,Other
3129,GILBERT'S FIRE,Arson
3162,Q2,Debris Burning
3165,FY2015-GWINNETT-002,Debris Burning
3173,CEDAR SOUTH,Other
3183,FY2002-SUMTER-037,Debris Burning
3185,C-138 SET2 (57),Arson
3188,GARRISON RIDGE,Other
3194,CUBE,Arson
3202,8060,Debris Burning
3203,ZION RIDGE,Debris Burning
3205,FIRE TOWER,Debris Burning
3213,SOUTH PINE,Lightning
3214,MAHOGANYMT,Lightning
3215,WEST SPRING CREEK,Lightning
3216,FY2014-TWIGGS-025,Accidental
3224,DEADMAN,Lightning
3227,973,Other
3233,SLOANS RIDGE,Lightning
3234,KILPATRICK,Other
3245,LOOKOUT,Debris Burning
3246,FY2013-WEBSTER-014,Debris Burning
3252,RED BUG ROAD,Other
3254,DRYWELL,Other
3259,64QBCPER00,Other
3261,TEN HORSE,Utilities
3273,CHOCTAW #6,Arson
3274,WHAKATNA C,Lightning
3277,A1305034,Arson
3278,FOX,Other
3284,WATUSI,Lightning
3289,A1303062,Other
3292,700,Arson
3293,LAKESIDE DR/ GLADE SPRINGS,Arson
3294,TH1710,Arson
3302,FY2011-JACKSON-016,Arson
3311,TIJUANA JOHN,Lightning
3315,BARONA,Debris Burning
3322,FY2011-JOHNSON-065,Debris Burning
3323,BEAR 2,Accidental
3325,THOMAS CREEK PRESERVE (16),Lightning
3333,TOWNE PARK (53),Other
3339,BIRTHDAY,Utilities
3348,FY2014-FANNIN-015,Debris Burning
3349,BEAR,Arson
3353,FY2015-BARROW-010,Debris Burning
3355,GROUSE,Lightning
3365,FY2011-COFFEE-095,Lightning
3389,TRACT 84,Debris Burning
3391,BUCKHOLZ,Lightning
3394,204,Lightning
3398,HIGHWAY E FIRE,Other
3402,BRONCO,Accidental
3404,SEWER SMOKE,Debris Burning
3408,WOOD PILE,Debris Burning
3413,MANNSCHRIE,Lightning
3419,LAKES,Lightning
3420,M TENT,Debris Burning
3421,RAILROAD,Utilities
3423,FY2012-CRISP-027,Debris Burning
3424,CASTLE RCK,Lightning
3432,FY2015-LOWNDES-003,Debris Burning
3435,PERKINS,Lightning
3439,PEABODY,Debris Burning
3444,WILDCAT TRAIL,Accidental
3446,FY2013-BROOKS-027,Debris Burning
3447,GRAY,Arson
3465,CLEAR FORK,Arson
3472,ALTHOUSE,Other
3476,FORBES TRAIL (58),Lightning
3487,HUNGRY,Lightning
3491,1262,Debris Burning
3493,FY2012-BUTTS-007,Debris Burning
3509,THOMAS,Accidental
3511,868,Other
3512,VALLEY,Arson
3516,NE300013A,Arson
3517,LARABEE /,Accidental
3519,LITTLE CANE CREEK FIRE,Debris Burning
3521,VIRGINIA,Arson
3528,POWER,Arson
3529,RD07-09,Accidental
3531,KORB 1 FIRE,Debris Burning
3537,WALKER,Utilities
3538,BIG BRANCH,Debris Burning
3542,10303,Arson
3543,FY2014-LUMPKIN-020,Debris Burning
3544,COUCH,Arson
3547,RODEO,Lightning
3548,WOODS,Other
3549,SELLECK,Utilities
3551,POSEY HOLLOW 2,Arson
3554,ALDER,Debris Burning
3555,CRUMB HOLLOW,Arson
3566,ORCHARD ADDITION,Debris Burning
3576,E WILLIAMS,Other
3606,SIXTEEN BOXES,Debris Burning
3610,CORPORATION 98,Lightning
3612,RL 128,Accidental
3618,REICHE,Other
3619,ONEIDA FARMS,Arson
3620,RED TAIL,Accidental
3631,ERSOLE (38),Lightning
3641,DUMP,Arson
3643,HORSE CREEK,Lightning
3648,MIESTER,Other
3663,D-5 SPRING,Arson
3666,UNKNOWN,Debris Burning
3670,FLOW THOMAS FIRE,Other
3671,THORNBUTTE,Lightning
3679,FY2011-CARROLL-024,Arson
3709,PATRICIA L DANIEL,Debris Burning
3710,FY2011-MCINTOSH-081,Arson
3721,7.92014E+12,Accidental
3723,162 CAR,Arson
3728,WEAVER ROAD,Debris Burning
3735,HOUND,Other
3736,MEADOW FORK,Accidental
3739,LOWE,Other
3740,STAR,Other
3747,MOOSE,Lightning
3750,RL122,Debris Burning
3751,STATE GAME LANDS,Arson
3763,BEAVER CREEK #7,Arson
3767,SCHRIENER,Lightning
3770,MAIN,Debris Burning
3775,L H DITCH,Arson
3776,MOOSE TWO,Lightning
3780,HECK # 9,Arson
3783,HILLSIDE LANE,Debris Burning
3784,HANG DOG,Lightning
3785,SAW 2,Utilities
3791,FISHER VALLEY ROAD FIRE 2,Arson
3793,DUSTDEVIL,Other
3796,HOUSE ROAD,Debris Burning
3798,ADAMS,Lightning
3807,650 FIRE,Debris Burning
3816,GRIZZLY RIDGE,Debris Burning
3819,FIELDS,Accidental
3824,E 22ND ST / SAMPSON ST,Other
3839,SHAVER RD,Arson
3843,NORTH CASH CREEK,Other
3845,UPPER KINKAID,Lightning
3851,LIVINGSTON - 7,Utilities
3852,FY2011-CHATTOOGA-064,Arson
3853,RL240,Other
3869,WHITES LAKE 1,Utilities
3872,LEGACY (53) **,Arson
3876,BUNKER HILL HGTS,Accidental
3878,HEADSET,Utilities
3881,RODEO CRK,Lightning
3883,SANDDUNE 1,Lightning
3887,POINTSPRNG,Lightning
3915,GRANDMA'S,Other
3923,PINEY CREEK,Arson
3926,POOL HOUSE,Accidental
3929,WESTWOOD,Debris Burning
3938,PRIMESTAR,Other
3939,FY2003-HENRY-009,Accidental
3940,WYMAN,Lightning
3949,CLOVERDALE,Arson
3957,MILE POST,Accidental
3962,10336,Debris Burning
3964,SHAMROCK,Arson
3966,FIVE,Utilities
3982,A1304015,Other
3987,FY2012-MILLER-004,Debris Burning
3989,FY2014-WILCOX-008,Debris Burning
3996,BIKE,Accidental
4000,FY2002-MCINTOSH-034,Debris Burning
4002,STATE,Utilities
4013,FOSTER CREEK,Lightning
4015,2.92014E+12,Accidental
4017,CARIBOU,Accidental
4021,SHADY GROVE(21),Debris Burning
4022,LIVINGSTON - 580,Utilities
4036,CR 204  (55),Other
4038,RIVERSIDE FIRE,Other
4055,71,Debris Burning
4057,JALEPENO,Debris Burning
4060,PAUL,Debris Burning
4064,BROOKLYN BAY (10),Utilities
4073,197TH,Other
4074,KELSO,Utilities
4075,CLE4694353,Debris Burning
4077,ARCH CREEK,Lightning
4078,KIOWA UNIT 34-3,Utilities
4084,KELSO,Arson
4090,SCOUT,Accidental
4097,9021,Debris Burning
4109,HWY 77 AND NW 150TH,Lightning
4112,MINERAL CREEK,Lightning
4115,RIVERTON,Accidental
4116,097 LOOP,Other
4117,FIREBOX,Lightning
4119,TEEC NOS POS,Utilities
4129,RAINBOW,Arson
4130,ROLAND,Arson
4134,ELECTRA,Arson
4138,FY2011-POLK-076,Arson
4144,DUETTE RD. (41),Lightning
4147,HORSESHOE FIRE,Debris Burning
4149,STOMPING,Other
4151,MARCOOT CHARCOAL #3,Other
4155,FY2012-TAYLOR-005,Debris Burning
4156,SOUTHTWIN,Debris Burning
4161,TAG RIVER3,Lightning
4164,EASEMENT,Debris Burning
4176,BROWN,Lightning
4178,WORK ALOT,Lightning
4180,1.09201E+13,Accidental
4183,POPHER CREEK,Arson
4185,8101,Accidental
4186,1.09202E+13,Debris Burning
4208,KEEBLE PIT,Accidental
4214,"WILLIE POWELL RD, AL",Debris Burning
4217,15-0001,Other
4218,FBI 2 FIRE,Arson
4222,WATER TANK,Debris Burning
4224,DAVE,Lightning
4226,THREE LINKS,Lightning
4235,FY2011-LUMPKIN-040,Debris Burning
4237,FLINT,Other
4241,SWIFT RIVER,Lightning
4243,DEVIL,Lightning
4244,NORTH OTTER,Lightning
4261,FY2002-GILMER-020,Other
